Designation,Prov_Des,Ln,q,Q,EMoid,H,Epoch,M,Peri,Node,Incl,e,a,Opps,Ref,Designation,name,year,month,day,ate,site,discovers
,2021,AX6,0.535,1.031,0.00173,26.87,20201217,122.2,204.6,99.5,3.3,0.317,0.783,(  4d),E2021-B55,2021,AX6,2021,1,14,G96,Mt. Lemmon,Survey
,2021,AV4,0.726,1.095,0.08825,21.1,20201217,242,81.6,106,13.3,0.203,0.911,(  5d),E2021-AE8,2021,AV4,2021,1,7,F51,Pan-STARRS,1
,2021,AU5,0.768,1.072,0.00477,24.03,20201217,209.5,125.3,118.2,15.7,0.165,0.92,(  6d),E2021-B55,2021,AU5,2021,1,12,F51,Pan-STARRS,1
,2021,AR,0.535,1.372,0.07194,23.95,20201217,65,225.7,103.4,20.1,0.439,0.954,(  8d),E2021-AD8,2021,AR,2021,1,3,F52,Pan-STARRS,2
,2021,AQ6,0.678,1.102,0.05941,24.8,20201217,105,33.3,289.6,23.5,0.238,0.89,(  2d),E2021-B10,2021,AQ6,2021,1,13,G96,Mt. Lemmon,Survey
,2021,AP3,0.849,1.065,0.07872,25,20201217,125,8.6,304.6,8.5,0.113,0.957,(  8d),E2021-BD2,2021,AP3,2021,1,8,F51,Pan-STARRS,1
,2021,AN,0.512,1.095,0.02857,24.59,20201217,211.2,329.6,282.9,30.1,0.363,0.804,( 12d),E2021-B25,2021,AN,2021,1,3,G96,Mt. Lemmon,Survey
,2021,AM6,0.64,1.018,0.00153,26.64,20201217,113.9,206.4,106.9,3.1,0.228,0.829,(  6d),E2021-BA4,2021,AM6,2021,1,14,G96,Mt. Lemmon,Survey
,2021,AM2,0.944,0.987,0.00337,27.16,20201217,157.8,179,108,8.4,0.022,0.966,(  5d),E2021-AE8,2021,AM2,2021,1,7,703,CSS,
,2021,AG6,0.508,1.005,0.0155,26.88,20201217,120.6,186.4,117.2,7,0.328,0.756,(  4d),E2021-BA4,2021,AG6,2021,1,13,G96,Mt. Lemmon,Survey
,2021,AG1,0.762,1.117,0.11961,24.25,20201217,187.8,162.5,104.7,26.5,0.189,0.939,(  8d),E2021-AE8,2021,AG1,2021,1,4,G96,Mt. Lemmon,Survey
,2021,AF5,0.864,1.002,0.00879,24.82,20201217,116.7,207.3,112.6,4.2,0.074,0.933,(  7d),E2021-BA4,2021,AF5,2021,1,11,G96,Mt. Lemmon,Survey
,2021,AD4,0.831,0.987,0.00136,25.66,20201217,140.8,194.4,106.7,9.5,0.086,0.909,(  9d),E2021-B69,2021,AD4,2021,1,9,G96,Mt. Lemmon,Survey
,2021,AC2,0.665,1.087,0.00117,27.89,20201217,85.8,232.5,100.7,0.9,0.241,0.876,(  3d),E2021-AG0,2021,AC2,2021,1,7,G96,Mt. Lemmon,Survey
,2021,AB1,0.393,1.071,0.0112,26.7,20201217,104,201.8,101.4,9,0.463,0.732,(  2d),E2021-A42,2021,AB1,2021,1,4,G96,Mt. Lemmon,Survey
,2021,AA6,0.546,1.251,0.0064,26.89,20201217,239.9,307.2,295.8,14.4,0.392,0.898,(  5d),E2021-BA4,2021,AA6,2021,1,12,F51,Pan-STARRS,1
,2021,AA1,0.831,1.131,0.05626,26.1,20201217,231.2,303.5,286,17.3,0.153,0.981,(  8d),E2021-AE8,2021,AA1,2021,1,4,G96,Mt. Lemmon,Survey
,2020,YW3,0.571,1.354,0.01927,25.73,20201217,71.9,75.1,251.2,5.6,0.407,0.963,( 12d),E2021-A07,2020,YW3,2020,12,22,G96,Mt. Lemmon,Survey
,2020,YU,0.46,1.081,0.00774,25.5,20201217,236.9,330.2,268.1,31.6,0.403,0.77,(  3d),MPC xxxxx,2020,YU,2020,12,18,G96,Mt. Lemmon,Survey
,2020,YT,0.505,1.098,0.05116,25.7,20201217,159.3,2.8,271.5,5.6,0.37,0.801,(  3d),MPC xxxxx,2020,YT,2020,12,17,G96,Mt. Lemmon,Survey
,2020,YS2,0.891,1.037,0.00022,31.07,20201217,97.6,70.8,268.3,2.7,0.076,0.964,( 17d),E2021-BC1,2020,YS2,2020,12,21,T08,ATLAS-MLO,
,2020,YR1,0.424,1.039,0.07058,22.88,20201217,136.8,235.9,54.9,8.3,0.42,0.732,(  8d),E2020-YF2,2020,YR1,2020,12,19,G96,Mt. Lemmon,Survey
,2020,YP4,0.756,1.164,0.00721,26.1,20201217,257.7,129.8,82.1,1.2,0.212,0.96,(  1d),E2020-YE2,2020,YP4,2020,12,26,G96,Mt. Lemmon,Survey
,2020,YP,0.76,1.009,0.00349,24.6,20201217,215.7,329.9,270.4,19.3,0.141,0.884,(  6d),MPC xxxxx,2020,YP,2020,12,16,G96,Mt. Lemmon,Survey
,2020,YN4,0.756,1.014,0.00175,27.3,20201217,130,296.1,9.1,0.2,0.146,0.885,( 25d),MPC xxxxx,2020,YN4,2020,12,26,G96,Mt. Lemmon,Survey
,2020,YN3,0.668,1.29,0.0246,23.37,20201217,78.1,47.6,287.6,3.7,0.318,0.979,( 27d),E2021-B84,2020,YN3,2020,12,22,F52,Pan-STARRS,2
,2020,YM3,0.858,1.084,0.00283,26.1,20201217,260.2,100.3,99,4.9,0.116,0.971,( 13d),E2020-YC4,2020,YM3,2020,12,22,G96,Mt. Lemmon,Survey
,2020,YM1,0.81,1.019,0.00375,29.7,20201217,226.4,309.6,278.4,2.1,0.115,0.914,(  2d),MPC xxxxx,2020,YM1,2020,12,19,G96,Mt. Lemmon,Survey
,2020,YK3,0.639,1.001,0.00694,27.16,20201217,169.1,169.2,103.3,2.6,0.221,0.82,( 13d),E2021-A14,2020,YK3,2020,12,22,G96,Mt. Lemmon,Survey
,2020,YH1,0.824,1.055,0.02612,27.2,20201217,228.9,314.7,272,11.3,0.123,0.939,(  3d),MPC xxxxx,2020,YH1,2020,12,19,G96,Mt. Lemmon,Survey
,2020,YH,0.43,1.054,0.08021,22,20201217,133.9,248.7,28.4,7.2,0.42,0.742,( 72d),E2021-ED3,2020,YH,2020,12,16,G96,Mt. Lemmon,Survey
